Participant,Gender,Age,Virtual_Observer,Virtually_Present,Observed_Easy_Per_Correct,Observed_Difficult_Per_Correct,Not_Observed_Easy_Per_Correct,Not_Observed_Difficult_Per_Correct,Observed_Easy_RT,Observed_Difficult_RT,Not_Observed_Easy_RT,Not_Observed_Difficult_RT,Observed_believed,Discard_Reasons,filter_$
1,2,34,1,1,.65,.3,.8,.35,2129.576923,2444.25,2320.6875,2486.714286,1,0,1
2,1,34,1,1,.8,.675,.825,.475,2115.3125,2230.148148,2078.151515,2455.315789,1,0,1
3,2,22,2,1,.95,.4,.975,.625,2192.894737,2396.625,1985.435897,2614.8,2,1,0
4,2,21,2,1,.95,.825,.95,.95,1659.210526,2128.424242,1568.052632,1996.368421,1,0,1
5,1,21,1,1,.95,.8,.975,.8,1298.973684,1915.09375,1226.74359,1969.5625,1,0,1
6,1,18,1,1,.95,.975,1,.975,1685.105263,2066.769231,1847.3,2174.076923,1,0,1
7,2,31,2,1,.9,.9,.925,.675,2340.25,2595.527778,2414.189189,2526.740741,1,0,1
8,1,21,2,1,.8,.75,.85,.775,1718.3125,2113.3,1692.117647,1847.354839,2,1,0
9,2,19,1,1,.825,.75,.9,.65,1775.121212,1988.8,2037.472222,2122.346154,1,0,1
10,1,18,1,1,.95,.85,1,.9,1391.421053,1819.117647,1376.55,1944.083333,1,0,1
11,2,44,2,1,.975,.9,.925,.95,1946.897436,2270.611111,1771.675676,2216.815789,1,0,1
12,2,29,2,1,.975,.95,.975,.9,2141.25641,2027.868421,1837.358974,2098.694444,2,1,0
13,1,26,1,1,.875,.525,.875,.625,1581.314286,1986.190476,1758.371429,2114.36,1,0,1
14,1,26,1,1,.975,.925,.975,.95,1279.692308,2101.621622,1347.487179,1857.868421,1,0,1
15,1,38,2,1,.95,.875,.95,.95,1898.815789,2751.571429,1796.868421,2502.447368,1,0,1
16,1,22,2,1,.975,.975,.85,.975,1523.051282,1846.641026,1530.735294,1664.512821,2,1,0
18,2,21,1,1,.8,.575,.925,.6,1665.71875,1931.913043,1864.027027,1472.583333,1,0,1
19,1,21,2,1,1,.95,.975,.975,1377.45,1513.210526,1318.769231,1388.615385,1,0,1
20,1,21,2,1,.925,.975,1,.925,1597.72973,1773.333333,1520.575,1760.324324,1,0,1
21,1,28,1,1,.825,.525,.825,.675,1925.848485,2161.904762,1808.272727,1990.37037,1,0,1
22,1,22,1,1,.9,.95,.9,.75,1588.194444,1963.368421,1441.472222,1893.7,1,0,1
23,2,55,2,1,.925,.9,1,.925,1749.864865,2281.027778,2027.025,2278.648649,1,0,1
24,2,22,2,1,1,1,1,1,1428.6,2141.925,1373.15,1915.85,1,0,1
25,1,30,1,1,.925,.925,.925,.85,1806.594595,2301.702703,1733.351351,2174,1,0,1
26,2,32,1,1,.775,.525,.875,.325,1683.935484,2349.380952,1723.571429,2570.846154,1,0,1
27,1,20,2,1,1,1,1,1,1395.6,1769.35,1370.6,1692.725,1,0,1
28,2,40,2,1,.925,.9,.9,.85,1794.621622,2247.027778,1825.777778,2304.352941,1,0,1
29,1,22,1,1,.875,.925,.925,.75,2071.2,2376.108108,1925.189189,2323.6,1,0,1
30,1,20,1,1,.8,.75,.675,.7,2283.59375,2346.933333,2003.925926,2270.607143,1,0,1
31,1,25,2,1,.975,.925,1,.95,1302.615385,1932.027027,1425.05,2037.394737,1,0,1
32,1,26,2,1,1,1,.975,1,1467.1,1257.925,1402.153846,1471.625,1,0,1
33,2,40,1,1,1,.942857143,.975,.95,1658.709677,2335.515152,1758.025641,2004.789474,2,1,0
34,1,19,1,1,.95,.925,.925,.95,1695.447368,1873.189189,1724.783784,1873.473684,1,0,1
35,1,21,2,1,1,.875,1,.975,1726.5,2233.4,1687.925,2309.461538,2,1,0
36,1,30,2,1,.9,.875,.925,.925,1455.833333,1365.314286,1274.108108,1305.054054,1,0,1
37,1,45,1,1,.875,.925,.9,.9,1447.085714,1871.513514,1356.694444,1752.111111,1,0,1
38,2,22,1,1,.825,.85,.9,.975,1591.757576,2259.264706,1357.833333,2203.358974,2,1,0
39,1,21,2,1,1,.95,1,.95,1566.375,1882.026316,1510,1794.368421,1,0,1
40,1,39,2,1,1,.825,.975,.9,1541.825,2520.090909,1367.846154,2485.722222,2,1,0
41,1,24,1,1,.9,.875,1,.875,2185.222222,2410.314286,2225.5,2446.057143,1,0,1
42,2,31,2,1,.78,.68,.73,.83,1988.13,2008.81,1893.28,1812.12,1,1,0
43,2,23,2,1,1,.93,.98,.95,1478.97,1946.11,1448.33,1855.32,1,0,1
44,1,26,2,1,.95,.85,1,.95,1344.89,1714.59,1263.48,1628.03,2,1,0
45,2,58,2,1,.95,.68,.88,.63,1628.92,2530.89,1653.14,2462.32,2,1,0
46,2,22,2,1,.98,.9,1,.95,1142.54,1963.75,1102.68,1823.18,1,0,1
47,2,26,2,1,.95,.8,.88,.9,1578.82,2180.63,1519.63,2120.28,1,0,1
48,2,24,1,0,.95,.78,1,.95,1790.45,2048.13,1825.23,2121.87,1,0,1
49,1,26,1,0,.98,.93,.95,.9,1824.08,2085.32,1671.89,2049.61,1,0,1
50,1,24,1,0,.9,.75,.85,.75,2112.28,2296,2091.35,2300.2,1,0,1
51,1,23,1,0,.93,.95,.93,.98,1745.68,2164.92,1684.62,2126.44,2,1,0
52,2,35,1,0,.48,.08,.65,.2,1894.11,3243,1770.77,3008.25,1,1,0
53,1,21,1,0,.83,.8,.9,.75,1578.45,2588.66,1852.44,2608.93,1,0,1
54,1,23,1,0,.98,.93,.95,.98,1488.18,1983.7,1192.16,2042.74,1,0,1
55,2,22,1,0,1,.85,1,.95,1767.93,2347.94,1332.3,2024.92,1,0,1
56,2,23,1,0,1,1,.9,.93,1562.15,2075,1728.14,2008.51,1,0,1
57,1,21,1,0,.93,.68,.9,.65,1748.43,1990.56,1957.64,2062.46,1,0,1
58,1,24,1,0,.95,.95,1,.98,1329.29,1743.26,1284.5,1747.69,2,1,0
59,2,23,1,0,.9,.05,1,.03,1826.67,2985.5,1740.55,2906,1,1,0
60,1,30,1,0,.78,.7,.63,.55,1721.16,2240.61,1695.68,2220.95,1,1,0
61,2,34,1,0,.93,.28,.9,.2,1744,2507.09,1802.03,2680.63,1,1,0
62,2,23,1,0,.98,.48,1,.75,2394.15,2831.21,2371.1,2927.4,1,0,1
63,1,24,1,0,.93,.83,.95,.85,2076.49,2264.91,2246.47,2245.29,1,0,1
64,2,23,1,0,.95,1,1,.98,1645.92,2064.55,1430.03,1809.26,1,0,1
65,1,19,1,0,.98,.88,.93,.88,1750.97,2166.03,1733.32,2247.06,1,0,1
66,2,22,1,0,.73,.63,.68,.45,2101.17,2375.36,2075.52,2137.11,1,1,0
67,22,45,1,0,.95,.9,.98,.98,1845.32,2116.33,1834.74,2141.92,2,1,0
68,2,26,1,0,1,.95,.98,.98,1484.1,1726.47,1492.05,1637.54,1,1,0
69,2,30,1,0,.98,.75,.9,.6,1620.49,2268.37,1634.31,2191.96,1,0,1
70,1,22,1,0,1,.9,1,.98,1502.85,2320.19,1456.75,2362.74,1,0,1
71,1,23,1,0,1,.98,1,1,1276.98,1808.54,1212.45,1671.95,2,1,0
72,1,39,1,0,.85,.78,.93,.88,1989.91,2500.03,1883.41,2675.71,1,0,1
73,1,22,2,0,.98,.98,1,1,1824.1,2187.46,1508.05,2048.53,1,0,1
74,2,20,2,0,.93,.98,.95,1,1654.76,1777.38,1473.61,1971.05,1,0,1
75,1,29,2,0,.95,.83,.95,.78,1618.26,2065.73,1576.92,2016.52,1,0,1
76,2,39,2,0,.95,.93,1,.95,1365.32,1625.32,1230.65,1455.08,1,0,1
77,2,22,2,0,.98,.95,.98,.98,1386.03,2148.03,1463.46,2060.38,1,0,1
78,1,24,2,0,.98,.93,.9,.93,1020.21,1647.11,977.25,1794.41,1,0,1
79,1,21,2,0,.95,.93,.98,.9,1877.63,2343.11,1842.26,2331.72,1,0,1
80,1,25,2,0,.93,.88,.93,.85,1538.3,2287.29,1628.49,1932.82,1,0,1
81,1,31,2,0,.93,.9,.98,.88,1722.27,2324.61,1754.9,2139.94,1,0,1
82,2,28,2,0,.9,.65,.9,.8,1682.78,2135.85,1450.89,2032.19,1,0,1
83,2,29,2,0,.95,.9,.98,.95,1389.32,1840.97,1285.87,1837.24,1,0,1
84,2,44,2,0,.93,.95,.83,.93,1577.38,2215.63,1501.12,1858.89,1,0,1
85,1,27,2,0,.95,.83,1,.88,1470.95,2148.24,1446.45,2022.29,1,0,1
86,2,23,2,0,.95,.95,1,1,1870.79,1746.55,1894.13,1675.83,2,1,0
87,1,22,2,0,1,.93,1,.93,1420.93,1963.32,1344.35,1971.81,1,0,1
88,1,22,2,0,.9,.9,.88,.88,1839.36,1924.92,1635.06,2102.23,1,0,1
89,1,30,2,0,.9,.63,.93,.63,2030.92,2380.4,1904.84,2459.56,1,0,1
90,1,22,2,0,1,.93,.98,.85,1431.65,2417.59,1330.72,2469.41,1,0,1
91,2,25,2,0,1,.95,1,.95,1741.03,2088.29,1735.65,1894.95,1,0,1
92,2,22,1,0,.85,.65,.78,.65,1598.59,1063.65,1541.06,1155.92,1,1,0
93,2,23,2,1,.85,.85,.83,1,1787.35,2304.59,1638.94,2016.88,1,0,1
94,2,27,1,0,.9,.48,.93,.28,1964.14,2465.53,1982.24,2624.27,1,1,0
95,1,20,1,0,.93,.9,1,.98,1628.05,2067.42,1540.03,2074.08,1,0,1
96,2,41,1,0,.95,.88,.98,.9,1437.18,1985.09,1561.28,1947.78,1,0,1
